pop	ID	floral_tube_length	crease_to_top_height	crease_to_bottom_height	tube_height_at_base	tube_height_at_inflection	mouth_angle	platform_angle	upper_petal_angle	tube_width_at_mouth	tube_width_at_base	lower_petal_angle	tube_height_at_mouth	mouth_constriction_angle
129	129-002	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA
129	129-016A	15.278	3.471	0.98	2.526	3.035	44.871	24.454	152.331	5.361	2.977	162.798	4.451	-20.418
129	129-016B	17.128	3.248	0.715	2.259	2.826	39.014	27.671	153.531	4.685	2.241	167.456	3.963	-11.342
129	129-008	18.606	3.078	1.064	1.713	2.448	55.789	41.117	151.99	3.81	2.04	152.221	4.143	-14.672
129	129-003	18.627	3.846	1.231	2.174	2.461	32.692	32.692	149.745	4.267	2.904	177.563	5.077	0
129	129-004	19.459	3.94	1.533	2.552	3.703	52.819	52.819	150.682	5.435	2.973	156.5	5.473	0
129	129-009	18.999	3.531	2.395	2.028	3.514	54.952	54.952	158.736	NA	2.841	146.313	5.926	0
129	129-012	18.633	3.52	1.665	2.736	4.103	51.386	51.386	151.588	4.806	2.8	157.027	5.185	0
129	129-006A	21.652	3.409	1.61	2.135	3.382	76.889	41.857	143.165	5.441	2.459	139.946	5.019	-35.032
129	129-006B	NA	NA	NA	2.534	3.557	NA	NA	NA	5.832	2.928	NA	NA	NA
129	129-010	17.868	3.322	1.291	2.087	3.441	61.097	44.81	157.625	5.458	2.678	141.278	4.612	-16.287
129	129-015A	18.084	3.339	1.599	2.109	3.236	67.291	58.008	145.322	5.961	3.132	147.387	4.938	-9.282
129	129-015B	18.605	4.394	1.57	2.015	3.264	49.016	39.856	156.264	4.291	2.654	154.721	5.963	-9.16
129	129-014A	17.018	3.399	0.889	1.695	2.92	60.139	41.604	151.378	NA	NA	148.483	4.288	-18.535
129	129-014B	18.795	3.569	1.744	1.9	3.332	64.533	64.533	145.786	5.131	2.943	149.682	5.313	0
129	129-007A	18.287	3.195	1.039	2.176	2.931	NA	NA	NA	4.743	2.352	NA	4.235	NA
129	129-007B	17.594	3.752	1.115	2.382	3.327	42.757	32.171	155.18	4.563	2.589	162.063	4.867	-10.586
129	129-005	18.239	2.822	1.747	1.572	3.001	61.373	48.922	149.855	5.612	2.289	148.772	4.569	-12.451
129	129-013	19.071	4.098	1.052	2.117	2.58	46.594	31.756	154.702	4.825	3.202	158.705	5.15	-14.838
129	129-011	20.517	4.31	1.197	1.943	3.267	63.176	43.998	142.657	5.35	2.808	154.168	5.507	-19.178
129	129-001A	18.709	3.464	0.881	2.602	2.716	40.768	29.658	160.326	4.471	2.364	158.907	4.345	-11.109
129	129-001B	18.84	3.266	1.27	2.059	2.805	73.874	50.723	148.046	4.822	3.355	138.081	4.537	-23.15
129	129-038A	32.924	5.266	3.043	3.734	4.301	38.192	38.192	151.763	6.936	4.24	170.045	8.309	0
129	129-038B	31.336	NA	NA	3.022	3.705	NA	NA	NA	6.774	3.881	NA	NA	NA
129	129-018	17.64	2.576	1.833	2.412	3.078	48.141	48.141	167.226	5.18	3.513	144.634	4.408	0
129	129-019	17.676	3.094	1.429	2.771	2.85	58.266	47.083	141.445	5.997	3.748	160.289	4.523	-11.183
129	129-032	27.279	7.043	2.184	3.454	4.83	84.105	55.33	118.348	6.989	3.757	157.547	9.227	-28.775
129	129-045	23.924	5.792	1.998	2.669	3.928	61.886	42.683	134.793	5.254	3.586	163.321	7.79	-19.203
129	129-033	26.805	6.4	1.29	3.137	5.589	83.07	35.884	126.662	6.78	3.34	150.268	7.69	-47.186
129	129-020	18.933	5.115	1.115	3.346	4.928	NA	NA	NA	5.599	3.208	NA	6.23	NA
129	129-022	24.778	7.709	0.879	3.257	5.68	56.129	30.883	134.029	7.28	3.487	169.842	8.588	-25.246
129	129-051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
129	129-030	26.272	7.79	1.244	3.268	NA	NA	NA	NA	6.317	3.559	NA	9.034	NA
129	129-024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
129	129-027	NA	7.851	1.809	NA	5.021	70.484	41.44	125.644	6.283	2.909	163.872	9.66	-29.044
129	129-017A	24.989	5.765	1.975	3.226	4.322	52.885	41.281	154.673	6.613	3.364	152.442	7.74	-11.604
129	129-017B	24.309	5.03	2.121	3.133	4.678	46.165	46.165	152.161	6.24	3.556	161.675	7.151	0
129	129-049	23.83	5.594	1.637	3.813	4.748	51.398	24.84	149.632	7.624	3.595	158.97	7.231	-26.558
129	129-023	NA	4.116	1.88	3.155	4.398	NA	NA	NA	5.114	2.984	NA	5.996	NA
129	129-044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
129	129-047	26.394	7.518	1.426	3.524	4.509	49.258	26.292	140.478	8.29	3.979	170.265	8.943	-22.966
129	129-029	26.933	5.897	1.019	2.744	4.314	32.189	17.649	151.46	6.573	3.408	176.351	6.916	-14.539
129	129-021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
129	129-041	23.969	6.897	1.422	3.19	5.498	58.393	27.582	132.679	6.976	4.159	168.929	8.319	-30.811
129	129-025A	27.589	7.989	1.165	3.416	4.187	54.132	17.238	150.409	7.196	3.957	155.459	9.154	-36.894
129	129-025B	27.998	7.238	1.477	3.083	4.333	53.177	23.237	146.442	6.803	3.604	160.381	8.714	-29.94
129	129-040	24.65	8.502	1.306	4.186	5.423	63.789	37.647	137.925	7.307	3.558	158.286	9.808	-26.142
129	129-042	29.475	NA	NA	3.398	4.669	NA	NA	NA	NA	3.923	NA	NA	NA
129	129-031A	26.313	6.435	1.185	2.949	3.365	65.587	29.375	148.971	NA	4.014	145.442	7.62	-36.212
129	129-031B	26.541	5.035	1.661	3.013	NA	75.775	49.795	138.404	6.416	4.95	145.821	6.696	-25.98
129	129-028	22.176	6.526	0.554	2.524	4.794	57.297	24.75	142.661	NA	3.522	160.042	7.079	-32.547
129	129-037	27.533	6.005	2.321	3.112	4.792	85.307	63.118	128.934	6.789	3.776	145.759	8.327	-22.188
129	129-026	25.551	6.672	1.036	2.91	4.793	65.304	26.474	141.281	6.19	3.376	153.415	7.708	-38.831
