pop	ID	long_stamen_length	short_stamen_length	pistil_length	nectary_area_1	nectary_area_2
129	129-002	22.012	19.228	25.207	1.029	1.170
129	129-016A	19.138	17.310	21.999	1.481	1.246
129	129-016B	19.181	17.260	22.216	0.950	0.930
129	129-008	23.597	19.779	25.550	1.268	1.038
129	129-003	25.331	21.962	24.494	1.735	1.930
129	129-004	26.095	22.737	27.402	1.507	1.203
129	129-006A	25.859	23.193	27.198	0.888	0.949
129	129-006B	26.164	23.237	28.301	0.910	0.808
129	129-009	22.055	20.967	25.707	1.098	1.018
129	129-012	25.304	21.894	25.471	1.073	1.255
129	129-010	25.064	21.805	25.094	1.003	1.149
129	129-015A	21.018	19.401	NA	1.208	1.282
129	129-015B	21.506	17.996	22.511	1.350	1.208
129	129-014A	24.124	21.247	25.669	1.697	1.383
129	129-014B	24.213	21.644	25.335	1.579	1.330
129	129-007A	20.733	18.288	21.922	1.227	1.433
129	129-007B	NA	NA	NA	1.500	1.786
129	129-005	23.633	20.501	24.013	1.089	1.152
129	129-001A	25.058	20.645	24.129	1.070	1.080
129	129-001B	24.953	20.503	24.227	1.149	1.073
129	129-011	25.712	23.032	27.018	1.376	1.172
129	129-013	23.989	21.329	26.704	1.255	1.063
129	129-018	22.653	19.985	23.053	1.277	1.439
129	129-019	23.042	19.913	26.030	1.563	1.542
129	129-032	26.618	24.650	34.406	1.264	1.091
129	129-045	26.108	23.004	30.119	1.035	0.818
129	129-033	29.179	24.152	36.778	0.961	0.912
129	129-022	25.880	21.793	30.027	0.822	0.841
129	129-020	18.677	14.976	28.923	0.483	0.554
129	129-024	24.433	20.366	31.554	0.969	0.878
129	129-027	21.726	21.872	31.682	0.654	0.658
129	129-049	28.070	22.754	32.837	1.098	0.791
129	129-047	32.233	26.686	33.402	1.115	0.886
129	129-029	26.906	23.866	35.998	0.790	0.759
129	129-025A	30.370	26.722	36.049	1.104	0.739
129	129-025B	28.503	25.333	33.539	1.165	1.070
129	129-041	28.658	23.977	33.678	1.007	1.126
129	129-037	28.029	25.372	33.625	0.857	1.070
129	129-044	26.786	24.788	32.984	0.570	0.640
129	129-028	23.239	20.003	27.464	0.533	0.548
129	129-042	27.344	24.307	31.471	1.113	1.030
129	129-021	22.636	20.810	30.459	0.996	0.752
129	129-040	25.290	21.447	30.708	1.017	0.975
129	129-017A	27.032	23.871	31.164	1.717	1.623
129	129-017B	27.396	23.759	31.332	1.808	2.112
129	129-030	29.454	24.708	33.249	0.866	0.693
129	129-038A	33.300	27.273	34.166	1.111	0.996
129	129-051	NA	21.276	NA	0.986	NA
129	129-048	28.493	24.307	33.643	0.561	0.689
129	129-043A	24.976	22.196	31.279	1.071	0.856
129	129-043B	24.527	22.434	32.763	1.122	0.977
129	129-038B	32.003	29.579	35.384	0.880	0.895
129	129-023	17.741	14.894	24.206	1.320	1.039
129	129-046	24.542	22.254	31.083	NA	NA
129	129-026	26.159	23.372	29.572	0.664	0.944
129	129-050	28.185	23.573	30.500	0.667	0.965
129	129-034	28.238	25.926	37.533	1.037	1.374
129	129-039	22.666	18.680	27.467	NA	NA
129	129-035	29.249	NA	35.109	0.979	NA
129	129-036	29.465	24.252	32.702	0.591	0.751
129	129-031A	26.242	19.622	31.780	0.630	0.532
129	129-031B	NA	NA	31.439	0.820	0.797
129	129-056B	26.103	24.816	26.908	1.449	1.639
129	129-072A	28.181	24.181	26.826	1.397	1.162
129	129-072B	28.589	24.850	26.843	1.590	1.443
129	129-071A	27.749	24.765	25.773	2.183	1.789
129	129-071B	26.779	23.754	28.355	2.131	2.223
129	129-063A	25.830	22.108	26.521	1.925	1.780
129	129-063B	25.555	21.680	25.683	1.866	1.928
