newID	pop	avg_long_stamen_length	avg_short_stamen_length	avg_pistil_length	avg_floral_tube_length	avg_crease_to_top_height	avg_crease_to_bottom_height	avg_tube_height_at_base	avg_tube_height_at_inflection	avg_mouth_angle	avg_platform_angle	avg_upper_petal_angle	avg_tube_width_at_mouth	avg_tube_width_at_base	avg_lower_petal_angle	avg_tube_height_at_mouth	avg_mouth_constriction_angle	avg_stamen_length_ratio	avg_longstamen_pistil_ratio	avg_longstamen_tube_ratio	avg_pistil_tube_ratio	avg_floral_crease_ratio	avg_mouth_height_width_ratio	avg_throat_inflation_ratio	avg_nectary_area	total_brightness	chroma	modified_hue
129-001	129	25.005499999999998	20.573999999999998	24.178	18.7745	3.365	1.0755	2.3305	2.7605000000000004	57.321	40.1905	154.18599999999998	4.6465	2.8594999999999997	148.494	4.441	-17.1295	1.215398883022949	1.0342339772993012	1.3319123024455797	1.2878171634529019	3.2517745582596724	0.956357139484364	1.2030621269027935	1.093	135.819530382017	0.413594377779169	87.846616770125
129-002	129	22.012	19.228	25.207	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA	1.1447888495943415	0.8732494941881224	NA	NA	NA	NA	NA	1.0995	120.852297059375	0.486667169241205	88.2219071430723
129-003	129	25.331	21.962	24.494	18.627	3.846	1.231	2.174	2.461	32.692	32.692	149.745	4.267	2.904	177.563	5.077	0	1.153401329569256	1.034171633869519	1.359907660922317	1.3149728888173082	3.1242891957757917	1.1898289196156548	1.1320147194112236	1.8325	116.749105176588	0.478956126097045	91.7391658611594
129-004	129	26.095	22.737	27.402	19.459	3.94	1.533	2.552	3.703	52.819	52.819	150.682	5.435	2.973	156.5	5.473	0	1.1476887891982233	0.9523027516239689	1.3410247186391901	1.408191582301249	2.5701239399869538	1.006991720331187	1.4510188087774294	1.355	108.518640669766	0.553541101916557	89.5105815549169
129-005	129	23.633	20.501	24.013	18.239	2.822	1.747	1.572	3.001	61.373	48.922	149.855	5.612	2.289	148.772	4.569	-12.451	1.1527730354616847	0.9841752384125264	1.2957398980207246	1.3165743735950437	1.6153405838580424	0.8141482537419814	1.909033078880407	1.1204999999999998	115.371329842977	0.516105088375647	88.315087810219
129-006	129	26.0115	23.215	27.749499999999998	21.652	3.409	1.61	2.3345	3.4695	76.889	41.857	143.165	5.6365	2.6935000000000002	139.946	5.019	-35.032	1.1204556899112765	0.9376293697759435	1.1943007574358027	1.2561426196194347	2.1173913043478256	0.9224407278073884	1.4938922457851904	0.88875	108.334069357934	0.503396007440993	83.9586589999165
129-007	129	20.733	18.288	21.922	17.9405	3.4734999999999996	1.077	2.279	3.129	42.757	32.171	155.18	4.6530000000000005	2.4705	162.063	4.551	-10.586	1.1336942257217848	0.9457622479700757	1.1337562202657627	1.1987750861267568	3.220047303158867	0.9797588140895688	1.3718461762853755	1.4865	110.944331010245	0.538565846872539	90.5280589822667
129-008	129	23.597	19.779	25.55	18.606	3.078	1.064	1.713	2.448	55.789	41.117	151.99	3.81	2.04	152.221	4.143	-14.672	1.1930330148136914	0.9235616438356165	1.2682468021068471	1.3732129420617005	2.8928571428571423	1.0874015748031496	1.4290718038528896	1.153	119.123866348952	0.483955118138548	88.4252470732355
129-009	129	22.055	20.967	25.707	18.999	3.531	2.395	2.028	3.514	54.952	54.952	158.736	NA	2.841	146.313	5.926	0	1.0518910669146755	0.8579375267436885	1.1608505710826886	1.3530712142744357	1.474321503131524	NA	1.7327416173570018	1.058	107.235978470201	0.573555375937626	90.4659923310157
129-010	129	25.064	21.805	25.094	17.868	3.322	1.291	2.087	3.441	61.097	44.81	157.625	5.458	2.678	141.278	4.612	-16.287	1.1494611327677138	0.9988044950984298	1.402731139467204	1.4044101186478624	2.573199070487994	0.8449981678270428	1.6487781504551986	1.076	122.155550031287	0.465490330736482	88.6359343415008
129-011	129	25.712	23.032	27.018	20.517	4.31	1.197	1.943	3.267	63.176	43.998	142.657	5.35	2.808	154.168	5.507	-19.178	1.116359847169156	0.9516618550595899	1.2532046595506166	1.3168591899400497	3.6006683375104425	1.0293457943925233	1.6814204837879567	1.274	126.394663435768	0.449990395755741	87.6684080133169
129-012	129	25.304	21.894	25.471	18.633	3.52	1.665	2.736	4.103	51.386	51.386	151.588	4.806	2.8	157.027	5.185	0	1.1557504339088336	0.993443524007695	1.3580207159340953	1.3669833091826331	2.114114114114114	1.0788597586350395	1.4996345029239764	1.164	120.005330392843	0.482333364075323	88.8189328650616
129-013	129	23.989	21.329	26.704	19.071	4.098	1.052	2.117	2.58	46.594	31.756	154.702	4.825	3.202	158.705	5.15	-14.838	1.1247128322940598	0.8983298382264829	1.2578784541974726	1.4002412039221854	3.8954372623574143	1.067357512953368	1.2187057156353331	1.1589999999999998	119.25474266788	0.490317479454713	89.646554945231
129-014	129	24.1685	21.4455	25.502000000000002	17.9065	3.484	1.3165	1.7974999999999999	3.126	62.336	53.0685	148.582	5.131	2.943	149.08249999999998	4.8004999999999995	-9.2675	1.1270503769773508	0.9477620532340246	1.35291301815823	1.4281544952590923	2.93492101474701	1.0354706684856751	1.7381990374165501	1.49725	115.88542235995	0.518831743178208	89.2614421697459
129-015	129	21.262	18.6985	22.511	18.3445	3.8665000000000003	1.5845	2.0620000000000003	3.25	58.153499999999994	48.932	150.793	5.126	2.893	151.054	5.4505	-9.221	1.1391947811160759	0.9553551596997024	1.1590843465065919	1.2099435635581832	2.443453113610019	1.1090186304195635	1.5771137991851063	1.262	132.737156999417	0.426440363569478	87.2859223394861
129-016	129	19.1595	17.285	22.1075	16.203	3.3595	0.8474999999999999	2.3925	2.9305000000000003	41.9425	26.0625	152.93099999999998	5.023	2.609	165.127	4.207	-15.879999999999999	1.1084507478312793	0.8666676911591704	1.186256542225761	1.3684855255232633	4.042247038675611	0.8380733456400897	1.2262501853236303	1.15175	123.311469019032	0.475804568641521	89.7894711224033
129-017	129	27.214	23.814999999999998	31.248	24.649	5.3975	2.048	3.1795	4.5	49.525	43.723	153.417	6.426500000000001	3.46	157.0585	7.4455	-5.802	1.1427494623042151	0.8708943742401609	1.1043729881651443	1.268007035770057	2.6452551041722616	1.1582077430042612	1.4164385917247135	1.815	117.353894890148	0.415010023931414	75.998258537320993
129-018	129	22.653	19.985	23.053	17.64	2.576	1.833	2.412	3.078	48.141	48.141	167.226	5.18	3.513	144.634	4.408	0	1.1335001250938204	0.9826486791306988	1.2841836734693877	1.306859410430839	1.4053464266230224	0.8509652509652511	1.2761194029850746	1.358	119.968569016973	0.501390457992628	88.5469076214616
