"newID","pop","avg_long_stamen_length","avg_short_stamen_length","avg_pistil_length","avg_floral_tube_length","avg_crease_to_top_height","avg_crease_to_bottom_height","avg_tube_height_at_base","avg_tube_height_at_inflection","avg_mouth_angle","avg_platform_angle","avg_upper_petal_angle","avg_tube_width_at_mouth","avg_tube_width_at_base","avg_lower_petal_angle","avg_tube_height_at_mouth","avg_mouth_constriction_angle","avg_stamen_length_ratio","avg_longstamen_pistil_ratio","avg_longstamen_tube_ratio","avg_pistil_tube_ratio","avg_floral_crease_ratio","avg_mouth_height_width_ratio","avg_throat_inflation_ratio","avg_nectary_area","total_brightness","chroma","modified_hue","K1","K2","rgb","region","subpopulation","class"
"129-001",129,25.0055,20.574,24.178,18.7745,3.365,1.0755,2.3305,2.7605,57.321,40.1905,154.186,4.6465,2.8595,148.494,4.441,-17.1295,1.21539888302295,1.0342339772993,1.33191230244558,1.2878171634529,3.25177455825967,0.956357139484364,1.20306212690279,1.093,135.819530382017,0.413594377779169,87.846616770125,0.981075,0.018925,"#D860A2FF","sierras","hybrids_virginialakes","hybrid"
"129-002",129,22.012,19.228,25.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,1.14478884959434,0.873249494188122,NA,NA,NA,NA,NA,1.0995,120.852297059375,0.486667169241205,88.2219071430723,NA,NA,"#CF4B93FF","sierras",NA,NA
"129-003",129,25.331,21.962,24.494,18.627,3.846,1.231,2.174,2.461,32.692,32.692,149.745,4.267,2.904,177.563,5.077,0,1.15340132956926,1.03417163386952,1.35990766092232,1.31497288881731,3.12428919577579,1.18982891961565,1.13201471941122,1.8325,116.749105176588,0.478956126097045,91.7391658611594,NA,NA,"#CF5289FF","sierras",NA,NA
"129-004",129,26.095,22.737,27.402,19.459,3.94,1.533,2.552,3.703,52.819,52.819,150.682,5.435,2.973,156.5,5.473,0,1.14768878919822,0.952302751623969,1.34102471863919,1.40819158230125,2.57012393998695,1.00699172033119,1.45101880877743,1.355,108.518640669766,0.553541101916557,89.5105815549169,NA,NA,"#C93683FF","sierras",NA,NA
"129-005",129,23.633,20.501,24.013,18.239,2.822,1.747,1.572,3.001,61.373,48.922,149.855,5.612,2.289,148.772,4.569,-12.451,1.15277303546168,0.984175238412526,1.29573989802072,1.31657437359504,1.61534058385804,0.814148253741981,1.90903307888041,1.1205,115.371329842977,0.516105088375647,88.315087810219,0.955076,0.044924,"#CA458CFF","sierras","hybrids_virginialakes","hybrid"
"129-006",129,26.0115,23.215,27.7495,21.652,3.409,1.61,2.3345,3.4695,76.889,41.857,143.165,5.6365,2.6935,139.946,5.019,-35.032,1.12045568991128,0.937629369775944,1.1943007574358,1.25614261961943,2.11739130434783,0.922440727807388,1.49389224578519,0.88875,108.334069357934,0.503396007440993,83.9586589999165,0.827833,0.172167,"#B7498EFF","sierras","hybrids_virginialakes","hybrid"
"129-007",129,20.733,18.288,21.922,17.9405,3.4735,1.077,2.279,3.129,42.757,32.171,155.18,4.653,2.4705,162.063,4.551,-10.586,1.13369422572178,0.945762247970076,1.13375622026576,1.19877508612676,3.22004730315887,0.979758814089569,1.37184617628538,1.4865,110.944331010245,0.538565846872539,90.5280589822667,0.99999,1e-05,"#C84383FF","sierras","newberryi_virginialakes","newberryi"
"129-008",129,23.597,19.779,25.55,18.606,3.078,1.064,1.713,2.448,55.789,41.117,151.99,3.81,2.04,152.221,4.143,-14.672,1.19303301481369,0.923561643835616,1.26824680210685,1.3732129420617,2.89285714285714,1.08740157480315,1.42907180385289,1.153,119.123866348952,0.483955118138548,88.4252470732355,NA,NA,"#CE4A93FF","sierras",NA,NA
"129-009",129,22.055,20.967,25.707,18.999,3.531,2.395,2.028,3.514,54.952,54.952,158.736,NA,2.841,146.313,5.926,0,1.05189106691468,0.857937526743689,1.16085057108269,1.35307121427444,1.47432150313152,NA,1.732741617357,1.058,107.235978470201,0.573555375937626,90.4659923310157,NA,NA,"#C6377FFF","sierras",NA,NA
"129-010",129,25.064,21.805,25.094,17.868,3.322,1.291,2.087,3.441,61.097,44.81,157.625,5.458,2.678,141.278,4.612,-16.287,1.14946113276771,0.99880449509843,1.4027311394672,1.40441011864786,2.57319907048799,0.844998167827043,1.6487781504552,1.076,122.155550031287,0.465490330736482,88.6359343415008,0.99999,1e-05,"#D05294FF","sierras","newberryi_virginialakes","newberryi"
"129-011",129,25.712,23.032,27.018,20.517,4.31,1.197,1.943,3.267,63.176,43.998,142.657,5.35,2.808,154.168,5.507,-19.178,1.11635984716916,0.95166185505959,1.25320465955062,1.31685918994005,3.60066833751044,1.02934579439252,1.68142048378796,1.274,126.394663435768,0.449990395755741,87.6684080133169,0.99999,1e-05,"#D2549BFF","sierras","newberryi_virginialakes","newberryi"
"129-012",129,25.304,21.894,25.471,18.633,3.52,1.665,2.736,4.103,51.386,51.386,151.588,4.806,2.8,157.027,5.185,0,1.15575043390883,0.993443524007695,1.3580207159341,1.36698330918263,2.11411411411411,1.07885975863504,1.49963450292398,1.164,120.005330392843,0.482333364075323,88.8189328650616,NA,NA,"#CE4C93FF","sierras",NA,NA
"129-013",129,23.989,21.329,26.704,19.071,4.098,1.052,2.117,2.58,46.594,31.756,154.702,4.825,3.202,158.705,5.15,-14.838,1.12471283229406,0.898329838226483,1.25787845419747,1.40024120392219,3.89543726235741,1.06735751295337,1.21870571563533,1.159,119.25474266788,0.490317479454713,89.646554945231,NA,NA,"#CE4D8FFF","sierras",NA,NA
"129-014",129,24.1685,21.4455,25.502,17.9065,3.484,1.3165,1.7975,3.126,62.336,53.0685,148.582,5.131,2.943,149.0825,4.8005,-9.2675,1.12705037697735,0.947762053234025,1.35291301815823,1.42815449525909,2.93492101474701,1.03547066848568,1.73819903741655,1.49725,115.88542235995,0.518831743178208,89.2614421697459,0.99625,0.00375,"#CC458BFF","sierras","hybrids_virginialakes","hybrid"
"129-015",129,21.262,18.6985,22.511,18.3445,3.8665,1.5845,2.062,3.25,58.1535,48.932,150.793,5.126,2.893,151.054,5.4505,-9.221,1.13919478111608,0.955355159699702,1.15908434650659,1.20994356355818,2.44345311361002,1.10901863041956,1.57711379918511,1.262,132.737156999417,0.426440363569478,87.2859223394861,NA,NA,"#D55D9EFF","sierras",NA,NA
"129-016",129,19.1595,17.285,22.1075,16.203,3.3595,0.8475,2.3925,2.9305,41.9425,26.0625,152.931,5.023,2.609,165.127,4.207,-15.88,1.10845074783128,0.86666769115917,1.18625654222576,1.36848552552326,4.04224703867561,0.83807334564009,1.22625018532363,1.15175,123.311469019032,0.475804568641521,89.7894711224033,0.99999,1e-05,"#D44E92FF","sierras","newberryi_virginialakes","newberryi"
"129-017",129,27.214,23.815,31.248,24.649,5.3975,2.048,3.1795,4.5,49.525,43.723,153.417,6.4265,3.46,157.0585,7.4455,-5.802,1.14274946230422,0.870894374240161,1.10437298816514,1.26800703577006,2.64525510417226,1.15820774300426,1.41643859172471,1.815,117.353894890148,0.415010023931414,75.998258537321,0.611139,0.388861,"#B25BA3FF","sierras","hybrids_virginialakes","hybrid"
"129-018",129,22.653,19.985,23.053,17.64,2.576,1.833,2.412,3.078,48.141,48.141,167.226,5.18,3.513,144.634,4.408,0,1.13350012509382,0.982648679130699,1.28418367346939,1.30685941043084,1.40534642662302,0.850965250965251,1.27611940298507,1.358,119.968569016973,0.501390457992628,88.5469076214616,0.99999,1e-05,"#D14591FF","sierras","newberryi_virginialakes","newberryi"
"129-019",129,23.042,19.913,26.03,17.676,3.094,1.429,2.771,2.85,58.266,47.083,141.445,5.997,3.748,160.289,4.523,-11.183,1.15713353085924,0.885209373799462,1.30357546956325,1.47261823942068,2.16515045486354,0.75421043855261,1.02850956333454,1.5525,105.192325878061,0.513270002536183,83.9597289647647,0.934263,0.065737,"#B5448CFF","sierras","hybrids_virginialakes","hybrid"
"129-020",129,18.677,14.976,28.923,18.933,5.115,1.115,3.346,4.928,NA,NA,NA,5.599,3.208,NA,6.23,NA,1.24712873931624,0.645749057843239,0.986478635187239,1.52765013468547,4.58744394618834,1.11269869619575,1.47280334728033,0.5185,130.594133348368,0.279485536849374,64.5608199502149,NA,NA,"#A67EB8FF","sierras",NA,NA
"129-021",129,22.636,20.81,30.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08774627582893,0.743162940346039,NA,NA,NA,NA,NA,0.874,89.0101143201517,0.481313715066044,76.5604264711843,NA,NA,"#904C8DFF","sierras",NA,NA
"129-022",129,25.88,21.793,30.027,24.778,7.709,0.879,3.257,5.68,56.129,30.883,134.029,7.28,3.487,169.842,8.588,-25.246,1.18753728261368,0.861890964798348,1.04447493744451,1.21184114940673,8.77019340159272,1.17967032967033,1.74393613754989,0.8315,133.230820328343,0.320919709763918,68.8033355919067,NA,NA,"#B274B4FF","sierras",NA,NA
"129-023",129,17.741,14.894,24.206,NA,4.116,1.88,3.155,4.398,NA,NA,NA,5.114,2.984,NA,5.996,NA,1.19115079897945,0.732917458481368,NA,NA,2.18936170212766,1.17246773562769,1.39397781299525,1.1795,84.9808432841724,0.426566867179351,80.2987383584765,1e-05,0.99999,"#8F5884FF","sierras","davidsonii_virginialakes","davidsonii"
"129-024",129,24.433,20.366,31.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19969557104979,0.774323382138556,NA,NA,NA,NA,NA,0.9235,121.348198144635,0.389876398776981,71.2265690562082,NA,NA,"#AC62AAFF","sierras",NA,NA
"129-025",129,29.4365,26.0275,34.794,27.7935,7.6135,1.321,3.2495,4.26,53.6545,20.2375,148.4255,6.9995,3.7805,157.92,8.934,-33.417,1.13082497661351,0.846155435421548,1.05941902326868,1.25227547282825,5.87899233163151,1.27650054577334,1.31557590693392,1.0195,152.869289253709,0.245476842754477,69.7987503280511,1e-05,0.99999,"#C18BC2FF","sierras","davidsonii_virginialakes","davidsonii"
