accession	newelevation	oldelevation
129-001	10249.06	9677
129-002	10246.5	9678
129-003	10250.17	9685
129-004	10255.03	9700
129-005	10250.17	9702
129-006	10238.95	9657
129-007	10351.2	9811
129-008	10360.06	9813
129-009	10355.47	9803
129-010	10355.47	9817
129-011	10355.47	9812
129-012	10355.47	9808
129-013	10352.52	9806
129-014	10360.06	9832
129-015	10360.06	9828
129-016	10369.9	9829
129-017	9924.64	9417
129-018	10392.18	9851
129-019	10392.18	9847
129-020	10924.72	10403
129-021	11018.22	10493
129-022	11008.12	10481
129-023	10894.47	10483
129-024	11013.96	10487
129-025	11127.26	10605
129-026	11127.26	10599
129-027	11131	10609
129-028	11125.89	10608
129-029	11090.92	10571
129-030	11084.36	10577
129-031	11077.8	10567
129-032	11077.8	10557
129-033	11084.36	10550
129-034	11087.97	10557
129-035	11090.92	10581
129-036	11090.92	10581
129-037	11081.21	10581
129-038	11090.66	10569
129-039	11094.99	10571
129-040	11090.66	10585
129-041	11094.99	10585
129-042	11090.66	10582
129-043	11094.99	10588
129-044	11094.99	10588
129-045	11091.05	10578
129-046	11091.05	10579
129-047	11093.63	10581
129-048	11091.05	10576
129-049	11085.93	10582
129-050	11023.6	10522
129-051	11022.09	10520
129-052	9885.46	9450
129-053	9882.47	9445
129-054	9882.47	9450
129-055	9882.47	9448
129-056	9882.47	9448
129-057	10082.27	9648
129-058	10088.96	9648
129-059	10082.27	9644
129-060	10088.5	9646
129-061	10093.03	9658
129-062	10179.55	9738
129-063	10184.67	9738
129-064	10184.99	9738
129-065	10192.08	9738
129-066	10191.29	9738
129-067	10202.91	9746
129-068	10197.66	9738
129-069	10203.76	9747
129-070	10202.91	9745
129-071	10206.73	9747
129-072	10210.54	9758
129-073	10205.42	9755
129-074	10311.49	9840
129-075	10306.24	9841
129-076	10306.24	9842
129-077	10314.77	9847
129-078	10324.34	9856
129-079	10324.34	9861
129-080	10324.34	9863
129-081	10385.98	10352
129-082	10385.13	10344
129-083	10385.13	10348
129-084	10385.13	10343
129-085	10385.13	10348
129-086	10387.1	10344
129-087	10400.81	10343
129-088	10403.96	10344
129-089	10383.25	10341
129-090	10383.25	10340
129-091	10387.71	10346
