accession	lat	lon	elevation
129-001	38.049012	-119.275778	9677
129-002	38.048982	-119.275733	9678
129-003	38.048985	-119.275763	9685
129-004	38.048999	-119.275899	9700
129-005	38.048920	-119.275762	9702
129-006	38.049008	-119.275593	9657
129-007	38.048898	-119.279442	9811
129-008	38.048852	-119.279465	9813
129-009	38.048881	-119.279377	9803
129-010	38.048826	-119.279383	9817
129-011	38.048877	-119.279376	9812
129-012	38.048885	-119.279382	9808
129-013	38.048879	-119.279361	9806
129-014	38.048865	-119.279538	9832
129-015	38.048872	-119.279501	9828
129-016	38.048804	-119.279682	9829
129-017	38.051919	-119.269915	9417
129-018	38.048237	-119.282405	9851
129-019	38.048242	-119.282374	9847
129-020	38.043192	-119.293522	10403
129-021	38.042378	-119.294326	10493
129-022	38.042373	-119.294249	10481
129-023	38.042340	-119.293164	10483
129-024	38.042312	-119.294265	10487
129-025	38.041828	-119.294946	10605
129-026	38.041807	-119.294931	10599
129-027	38.041915	-119.295099	10609
129-028	38.041784	-119.295098	10608
129-029	38.040421	-119.296380	10571
129-030	38.040414	-119.296411	10577
129-031	38.040421	-119.296531	10567
129-032	38.040406	-119.296548	10557
129-033	38.040378	-119.296405	10550
129-034	38.040365	-119.296394	10557
129-035	38.040401	-119.296400	10581
129-036	38.040380	-119.296379	10581
129-037	38.040358	-119.296415	10581
129-038	38.040244	-119.296264	10569
129-039	38.040279	-119.296166	10571
129-040	38.040223	-119.296220	10585
129-041	38.040221	-119.296147	10585
129-042	38.040262	-119.296248	10582
129-043	38.040200	-119.296160	10588
129-044	38.040216	-119.296141	10588
129-045	38.040178	-119.296205	10578
129-046	38.040185	-119.296133	10579
129-047	38.040165	-119.296085	10581
129-048	38.040133	-119.296206	10576
129-049	38.040143	-119.296241	10582
129-050	38.041747	-119.297533	10522
129-051	38.041517	-119.297490	10520
129-052	38.049584	-119.265054	9450
129-053	38.049562	-119.264924	9445
129-054	38.049628	-119.264994	9450
129-055	38.049626	-119.264956	9448
129-056	38.049612	-119.264953	9448
129-057	38.052227	-119.274079	9648
129-058	38.052174	-119.274098	9648
129-059	38.052178	-119.274048	9644
129-060	38.052097	-119.274146	9646
129-061	38.052040	-119.274256	9658
129-062	38.050710	-119.274820	9738
129-063	38.050647	-119.274813	9738
129-064	38.050591	-119.274857	9738
129-065	38.050509	-119.274690	9738
129-066	38.050534	-119.274823	9738
129-067	38.050288	-119.274659	9746
129-068	38.050399	-119.274719	9738
129-069	38.050240	-119.274745	9747
129-070	38.050334	-119.274690	9745
129-071	38.050036	-119.274669	9747
129-072	38.049722	-119.275182	9758
129-073	38.049642	-119.275099	9755
129-074	38.049268	-119.277098	9840
129-075	38.049288	-119.277148	9841
129-076	38.049332	-119.277187	9842
129-077	38.049382	-119.277295	9847
129-078	38.049472	-119.277386	9856
129-079	38.049531	-119.277341	9861
129-080	38.049542	-119.277375	9863
129-081	38.048216	-119.280819	10352
129-082	38.048172	-119.280669	10344
129-083	38.048169	-119.280718	10348
129-084	38.048174	-119.280680	10343
129-085	38.048209	-119.280749	10348
129-086	38.048223	-119.281069	10344
129-087	38.048948	-119.281030	10343
129-088	38.048744	-119.281038	10344
129-089	38.048728	-119.281636	10341
129-090	38.048725	-119.281610	10340
129-091	38.048872	-119.282003	10346
129-092	38.048742	-119.282146	10348
129-093	38.048525	-119.282218	10343
129-094	38.048563	-119.282272	10345
129-095	38.048320	-119.282305	10343
129-096	38.048046	-119.282587	10343
129-097	38.047969	-119.282766	10345
129-098	38.047768	-119.283373	10377
129-099	38.047723	-119.283296	10377
129-100	38.047556	-119.283378	10378
129-101	38.047606	-119.283378	10379
129-102	38.047701	-119.284733	10390
129-103	38.047716	-119.284784	10387
129-104	38.047198	-119.284849	10404
129-105	38.047386	-119.284982	10405
129-106	38.047311	-119.285219	10411
129-107	38.047350	-119.284960	10405
129-108	38.047311	-119.285192	10411
129-109	38.047308	-119.285233	10411
129-110	38.047212	-119.285207	10411
129-111	38.047238	-119.285239	10411
129-112	38.047248	-119.285245	10411
129-113	38.047230	-119.285239	10411
129-114	38.046981	-119.285220	10414
129-115	38.047196	-119.285181	10418
129-116	38.046942	-119.285111	10414
129-117	38.046955	-119.285161	10416
129-118	38.046874	-119.285063	10413
129-119	38.046846	-119.285087	10414
129-120	38.046867	-119.285092	10414
129-121	38.047039	-119.285488	10418
129-122	38.046836	-119.285076	10411
129-123	38.046559	-119.286623	10469
129-124	38.046577	-119.286560	10467
129-125	38.046608	-119.286614	10469
129-126	38.046031	-119.286994	10502
129-127	38.046020	-119.286963	10502
129-128	38.045993	-119.286816	10487
129-129	38.045980	-119.286825	10488
129-130	38.046120	-119.286910	10487
129-131	38.046033	-119.286855	10488
129-132	38.045902	-119.287499	10537
129-133	38.045855	-119.287486	10542
129-134	38.045779	-119.287576	10546
129-135	38.045752	-119.287436	10548
129-136	38.045798	-119.287542	10548
129-137	38.045748	-119.287439	10549
129-138	38.045597	-119.287352	10550
129-139	38.045619	-119.287347	10550
129-140	38.045597	-119.287352	10552
129-141	38.045605	-119.287349	10552
129-142	38.045605	-119.287345	10552
129-143	38.045617	-119.287389	10553
129-144	38.045609	-119.287386	10552
129-145	38.045553	-119.287917	10575
129-146	38.045497	-119.287852	10575
129-147	38.045549	-119.287917	10575
129-148	38.045499	-119.287878	10575
129-149	38.045508	-119.287899	10575
129-150	38.045511	-119.287895	10575
130-001	37.950009	-119.261011	9307
130-002	37.949983	-119.260981	9307
130-003	37.949772	-119.261265	9280
130-004	37.949302	-119.259663	9273
131-001	37.429173	-118.750809	10004
131-002	37.429235	-118.750725	10005
131-003	37.429262	-118.750814	10003
131-004	37.429238	-118.750667	9999
131-005	37.429212	-118.750497	9981
131-006	37.429270	-118.750579	9992
131-007	37.429215	-118.750500	9984
131-008	37.429239	-118.750529	9984
