newID	flower	species	weight_mg	delph_intensity	cyan_intensity	prop_delph
123-007	A			0	189420	0
123-015	A			257066	273410	0.484594968
123-024	A			0	513090	0
123-027	A			154200	17452	0.898329178
123-029	A			638510	225970	0.738605867
123-030	A			123030	2965.5	0.976463445
123-035	A			304280	241847	0.557159782
123-038	A			30676	0	1
123-050	A			327285	162454	0.668284535
124-011	A			0	768229	0
124-011	B			74.5	814729	9.14331E-05
124-045	A			109	1124600	9.6914E-05
124-046	A			0	646920	0
124-046	B			0	978540	0
124-049	A			153270	9315	0.942706892
124-050	A			0	230966	0
124-051	A			0	720164	0
124-052	A			538320	387841	0.581238035
124-053	A			0	462663	0
124-053	B			0	388200	0
124-055	B			48380	20746	0.699881376
124-066	A			0	663541	0
124-067				0	702465	0
124-068	A			4860.5	431505	0.011138598
124-070	B			0	491840	0
124-070	A			0	591760	0
124-072	B			0	528025	0
124-072	A			0	493408	0
124-073	B			334060	249008	0.572934889
124-073	A			219640	203314	0.519299971
124-082	A			178069	77276	0.697366308
125-009	A			0	282450	0
125-009	B			0	299730	0
125-010	A			0	866120	0
125-010	B			0	412698	0
128-002	A			118613	74570	0.61399295
128-003	B			451640	77251	0.853937768
128-004	A			2444.5	1612.5	0.602538822
128-006	A			3436	0	1
128-007	A			446286	212163	0.677783701
128-009	A			448	3341	0.118237002
128-010	B			90301	3065	0.967172204
128-011	A			50894	7661.5	0.86915832
128-012	A			7480.5	6637	0.52987427
128-015	B			632292	90520	0.874766883
128-016	A			119270	1447.5	0.988009195
128-018	A			265318	762.5	0.997134326
128-019	A			87217	1202.5	0.986400059
128-021	B			184790	51	0.999724087
128-022	A			162830	27457	0.855707431
128-025	A			0	2547	0
128-027	B			2385	0	1
128-029	A			58275	1908	0.968296695
128-031	A			149990	336800	0.308120545
128-031	B			113080	356720	0.240698169
128-033	B			106937	4513	0.959506505
128-035	A			7775	44405	0.14900345
128-035	B			11174	10911	0.505954268
128-040	A			270392	58748	0.821510603
128-041	B			4986	2677.5	0.650616559
128-041	A			16135	2538.5	0.864058693
128-051	A			0	16046	0
128-054	A			0	643540	0
128-055	A			0	325550	0
128-056	A			0	646800	0
128-059	A			0	150100	0
128-061	B			316068	143028	0.688457316
128-063				0	659818	0
128-065	B			0	549790	0
129-001	A	new	4.9	0	165213	0
129-005		new	4.3	0	175069	0
129-006	A	new	4.6	0	150929	0
129-007	A	new	4.5	0	177902	0
129-010		new	4.3	0	150390	0
129-011		new	5.3	0	180130	0
129-014	A	new	4.1	0	117920	0
129-016	A	new	4.2	0	119412	0
129-017	A	dav x new	9.2	95459	125435	0.432148451
129-023		dav	7.6	63754	80480	0.442017832
129-025	A	dav	12.1	114680	152813	0.428721499
129-026		dav	9.7	68575	81075	0.458235884
129-027		dav	10.0	115930	158538	0.422380751
129-029		dav	8.4	109610	89575	0.550292442
129-030		dav	9.3	97835	83693	0.538952668
129-031	A	dav	10.8	109776	87236	0.557204637
129-043	A	dav	10.4	96427	77688	0.553812136
129-081	A	dav x new	8.0	5195.5	34190	0.131914029
129-082	A	dav x new	4.4	0	205570	0
129-083	A	dav x new	7.7	11374	50939	0.18253013
129-084	A	dav x new	4.7	0	305480	0
129-085	A	dav x new	5.6	0	197712	0
129-086	A	dav x new	5.3	0	212210	0
129-087	A	dav x new	5.1	0	250930	0
129-088	A	dav x new	5.4	0	265315	0
129-089	A	dav x new	5.4	0	250870	0
129-090	A	dav x new	7.2	123327	133304	0.480561585
129-091	A	dav x new	4.5	0	130440	0
129-092	A	dav x new	5.5	0	295970	0
129-093	A	dav x new	7.1	0	290421	0
129-094	A	dav x new	5.0	35462	95451	0.270882189
129-095	A	dav x new	6.2	0	309160	0
129-096	A	dav x new	5.9	536.5	842	0.38919115
129-097	A	dav x new	5.1	0	170900	0
