sample	syndrome	index
BWS_129-007	1	3
BWS_129-010	1	4
BWS_129-011	1	5
BWS_129-016	1	7
BWS_129-018	1	9
BWS_129-023	0	11
BWS_129-025	0	12
BWS_129-026	0	13
BWS_129-027	0	14
BWS_129-029	0	15
BWS_129-030	0	16
BWS_129-031	0	17
BWS_129-032	0	18
BWS_129-034	0	19
BWS_129-036	0	20
BWS_129-038	0	21
BWS_129-039	0	22
BWS_129-040	0	23
BWS_129-042	0	24
BWS_129-043	0	25
BWS_129-044	0	26
BWS_129-046	0	27
BWS_129-047	0	28
BWS_129-050	0	29
BWS_129-051	0	30
BWS_129-052	1	31
BWS_129-055	1	33
BWS_129-059	1	35
BWS_129-061	1	36
BWS_129-062	1	37
BWS_129-067	1	39
BWS_129-079	1	45
BWS_129-084	1	49
BWS_129-092	1	57
BWS_129-095	1	60
BWS_129-097	1	62
BWS_129-126	0	91
BWS_129-131	0	95
BWS_129-133	0	97
BWS_129-134	0	98
BWS_129-135	0	99
BWS_129-136	0	100
BWS_129-137	0	101
BWS_129-139	0	103
BWS_129-141	0	105
BWS_129-143	0	107
BWS_129-144	0	108
BWS_129-146	0	110
BWS_129-147	0	111
BWS_129-148	0	112
BWS_129-149	0	113
BWS_129-150	0	114
BWS_131-010	1	118
BWS_131-016	1	120
BWS_131-018	1	121
BWS_131-022	1	122
BWS_131-026	1	124
BWS_131-029	1	125
BWS_131-035	1	128
BWS_131-039	1	129
BWS_131-040	1	130
BWS_131-042	1	132
BWS_131-045	1	135
BWS_135-002	0	319
BWS_135-003	0	320
BWS_135-005	0	322
BWS_135-006	0	323
BWS_135-007	0	324
BWS_135-009	0	326
BWS_135-010	0	327
BWS_135-011	0	328
BWS_135-014	0	331
BWS_135-015	0	332
BWS_135-022	0	339
