background,sample,bg_dSbird,bg_dLbird,bg_dSbee,bg_dLbee
leaf,129-007,12.51687911858721,10.3180681,6.124535741143931,4.5368142
leaf,129-010,11.27031633415214,9.4605528,6.792423002454459,3.6754864
leaf,129-011,11.41394114655809,10.437681,7.32640822377186,2.490965
leaf,129-016,11.967879674203074,8.8241738,7.1422086038244155,5.0644399
leaf,129-018,12.665042313777983,10.1981845,8.4511116638156345,4.2996603
leaf,129-052,11.794389985733128,9.458974,8.450978417371092,3.6616178
leaf,129-055,12.004926997555135,8.2297446,8.283270761499763,4.8921981
leaf,129-059,11.979881706026742,9.8798696,7.335567141686545,3.2443439
leaf,129-061,11.436330293026401,8.6577627,7.969666709608984,3.9155665
leaf,129-062,11.330597164075414,8.9689987,7.140203957979013,3.5667513
leaf,129-067,12.654498623286159,8.5071672,8.796495573382078,5.3870996
leaf,129-079,12.453527023382057,8.6818983,7.275592559954383,5.3570296
leaf,129-084,11.1839103294529,8.1591703,7.485116983011971,4.6703475
leaf,129-092,11.382028233634568,8.8635434,8.218131299480994,3.7614384
leaf,129-095,11.680043097009149,8.1227232,8.170708090046881,4.9758767
leaf,129-097,11.060398525798496,10.0234764,8.016633585540266,2.4668491
leaf,131-010,10.843963344247532,9.404445,7.3684228826391625,2.5705747
leaf,131-016,8.91071448405273,11.6774966,8.483417121923942,2.1185024
leaf,131-018,11.510380541051719,9.3950592,7.8120926153322445,3.2186187
leaf,131-022,11.601620601949797,9.193687,7.061080679689003,3.9438093
leaf,131-026,10.54641230756162,8.8675097,7.017464011175045,3.1745313
leaf,131-029,11.702796517947569,9.6304066,7.235154464402448,3.690947
leaf,131-035,10.757000071710378,8.6456128,8.33266301598319,3.4614075
leaf,131-039,11.086585072378423,10.1253383,6.5396148348712035,2.4929673
leaf,131-040,9.837152816602309,9.341896,8.107763870376727,1.7474465
leaf,131-042,8.620017970038313,8.4228887,5.082338724382475,1.8751084
leaf,131-045,10.577263962234156,8.2870043,7.533977122473069,3.8904484
leaf,129-023,8.263912916613945,3.4829419,5.553400318542501,4.3536053
leaf,129-025,7.064034616803088,8.889022,9.1008741528218,2.8584492
leaf,129-026,6.979516920077303,9.5238492,7.134187924925686,3.8330132
leaf,129-027,9.2169569661879,6.5698805,7.954172952945108,0.7886902
leaf,129-029,8.075167460549643,4.4753561,7.524102408391093,0.9556777
leaf,129-030,6.705393027101114,8.9358553,7.782463611358538,3.5386521
leaf,129-031,7.894147847412799,6.3301201,8.360191145308733,0.2228948
leaf,129-032,7.24346379664762,6.7017206,7.058354789991123,2.2406113
leaf,129-034,6.209062833517627,7.4683268,8.049217894479458,3.0530087
leaf,129-036,7.015774889779302,7.2236772,8.521066102997493,2.0834055
leaf,129-038,6.634239777186495,9.9378261,7.799095177223771,4.8001624
leaf,129-039,7.656028141725263,6.3902023,6.858913959743279,0.7723893
leaf,129-040,7.788611991574515,8.3129902,7.835994150386506,2.3178044
leaf,129-042,7.0700147935901505,6.9794512,7.670508845914128,1.1256086
leaf,129-043,9.406593558617436,5.2070144,7.7440240206632796,2.3810113999999998
leaf,129-044,8.902297664870323,6.3844957,7.964405580065046,0.351064
leaf,129-046,9.078213198029538,6.3623779,6.77274841974408,1.2284802
leaf,129-047,7.6763561309151,7.957345,8.203022099479695,2.7004281
leaf,129-050,8.984595659926832,5.8236307,7.726913650033876,2.4778612
leaf,129-051,7.7936348278649055,6.9666715,7.405021756723981,0.6303712
leaf,129-126,7.168218614857333,6.1555192,7.506252902971228,1.3680219
leaf,129-131,7.4634210520933895,8.7752747,7.9177433659567376,2.9103946
leaf,129-133,6.628585763916138,6.5706203,7.595536988142847,2.5042691
leaf,129-134,7.238257381040324,5.7345563,7.4214037961416786,0.2902456
leaf,129-135,7.566923766997238,7.0379471,7.107265485385094,1.5506649
leaf,129-136,6.570362943052666,8.4859923,8.250074247685427,3.3134797
leaf,129-137,7.347422371828421,7.3303291,6.672686732235627,2.5086196
leaf,129-139,8.212871131266912,6.5799191,7.2042039881760305,0.6576125
leaf,129-141,8.368439470405647,5.7208266,8.276622078331135,0.211286
leaf,129-143,6.328578072452166,8.3239289,7.090665201774153,4.6812852
leaf,129-144,5.02836122239673,8.3744623,6.690484364984098,5.3307549
leaf,129-146,7.247368249656535,6.5184944,7.914386318289108,1.9254718
leaf,129-147,6.355904314190128,8.6963605,8.870927746245123,3.7333297
leaf,129-148,6.227338261478917,12.2859279,5.561552581219761,8.256181
leaf,129-149,5.831423855813724,9.7535478,7.301320983129183,5.5743001
leaf,129-150,7.5009899887601375,6.4758428,8.35367169815985,0.2506828
leaf,135-002,7.996013650934073,5.1329873,7.360635251096601,1.4009625
leaf,135-003,7.333466107881261,6.0472052,6.919884047902074,1.291703
leaf,135-005,6.470065226119937,8.2948409,5.255096475468059,3.6251602
leaf,135-006,7.260645616573998,6.8364915,8.475179709035183,0.9032068
leaf,135-007,6.644188519946344,3.4534871,6.657285909297904,1.2733024
leaf,135-009,7.1655253823867335,6.8052316,6.746969658360262,1.9740237
leaf,135-010,7.731334028982379,5.1820035,6.291643069966446,1.1915396
leaf,135-011,8.43139769569464,4.8681308,8.266086819466604,2.1363677
leaf,135-014,8.197130865884318,7.206765,6.655125272840023,1.2650021
leaf,135-015,8.945103006303064,5.4495608,7.289370972790121,2.4111254
leaf,135-022,7.060156265780785,4.942547,6.755120321574431,0.572556
leaf,129-001,10.65580657716774,9.784941,6.8996734295925455,2.2911741
leaf,129-005,12.350952110313733,8.9581631,6.853975283285943,5.3239886
leaf,129-006,11.52191867056286,7.362042,7.451806314666522,5.2341431
leaf,129-014,12.432219631284463,9.476245,6.755581240296732,5.0593219
leaf,129-017,10.22545460802746,6.7434889,7.822447267458084,2.9284406
leaf,129-019,12.167078514486613,6.6299325,9.014939292956434,6.61458
leaf,129-053,9.246061271581132,7.3530522,7.674069746244302,2.52569
leaf,129-057,14.11617125283089,6.881283,7.324469366095514,9.3845378
leaf,129-064,11.088304200085235,9.3082105,8.129216268653153,2.9650353
leaf,129-069,12.713236832523654,8.9764405,7.829437829971198,5.1959369
leaf,129-071,13.594749930180873,6.7311328,7.7245415304304785,8.8582376
leaf,129-073,11.815486279300261,9.3563254,8.071612536105503,3.8443795
leaf,129-075,10.911636025098213,10.2427667,7.236107632562618,1.8111323
leaf,129-077,12.005669662121827,10.11095,7.53287047288316,3.1414361
leaf,129-081,8.720386541420345,6.9229557,6.730890838634304,0.6583786
leaf,129-082,10.849386678599483,5.9154004,7.554687515917177,6.206737
leaf,129-083,8.259608537677945,8.4013125,8.072756263478318,1.0279275
leaf,129-085,10.767190235760522,2.2792318,6.366989510996212,10.2635856
leaf,129-086,10.054831218827866,9.190106,7.715288199841209,1.8785414
leaf,129-087,11.644301103711507,9.3319587,7.4443826164964,3.7273417
leaf,129-088,11.00289853039693,7.9652334,7.973446606238062,4.4920366
leaf,129-089,10.506007327639663,10.9740601,7.506688705172266,0.3936394
leaf,129-090,10.966085626083446,7.0181868,8.284172148916813,3.5254415
leaf,129-091,9.486363729659745,7.8807572,8.013075552583125,2.3830292
leaf,129-093,10.672472807754373,10.295157,7.28517415374427,1.8140984
leaf,129-094,8.592953833449375,6.1254984,7.967679999794236,2.2971661
leaf,129-096,8.79402935749857,6.6810238,8.690371186477293,1.6245442
leaf,129-098,11.311859669408971,8.2442906,7.824063295794729,4.1883883
leaf,129-099,10.329445294450363,4.423083,7.8000521276940935,5.9387509
leaf,129-100,8.430692996742161,9.4824949,8.2366076356982,0.7763105
leaf,129-101,9.177280778258025,11.5844769,7.270682074696431,1.3202466
leaf,129-102,9.777179489876106,7.6726996,8.407830528058561,2.9680536
leaf,129-103,10.529767307743866,8.4037962,7.677576378542529,3.5470059
leaf,129-104,10.870512640619394,7.216137,7.226627909923422,5.3035498
leaf,129-105,10.256366252961323,10.0850668,7.260760853496598,1.0581388
leaf,129-106,8.683822303829666,10.572241,8.15446635838519,3.1813151
leaf,129-107,8.743696731270683,6.0852472,8.853815762554628,2.0216727
leaf,129-108,8.747990023371925,6.558379,7.496586043911522,0.6303605
leaf,129-109,9.473451756873217,6.4740311,7.997236098688086,2.8086353
leaf,129-110,9.151226530102726,9.2103277,8.256953358837825,0.3695592
leaf,129-111,6.11362198233967,9.0945057,6.9272096782212245,5.5059714
leaf,129-112,7.364663506251659,9.0778019,7.901000820170286,2.7357422
