chr,ps,AFD,maf,bpstart,bpend
1085,1204707,0.128054,0.127,1204707,1204707
1085,1060289,0.05004000000000008,0.127,1060289,1060289
1085,5370160,0.377857,0.133,5370160,5370160
1085,1057838,0.031127,0.129,1057838,1057838
1085,4697866,0.07092200000000004,0.279,4697866,4697866
1085,7809383,0.643814,0.325,7809383,7809383
1085,5666566,0.05161499999999996,0.253,5666566,5666566
1085,1205872,0.1836095,0.15900000000000003,1205872,1205872
1085,1716980,0.19818780000000005,0.20999999999999996,1716980,1716980
1085,2385014,0.07249799999999995,0.152,2385014,2385014
1085,6560882,0.00788099999999991,0.104,6560882,6560882
1085,374977,0.04964599999999997,0.401,374977,374977
1085,6630726,0.05437399999999992,0.221,6630726,6630726
1085,6134447,0.18400299999999992,0.124,6134447,6134447
1085,2322967,0.11741500000000003,0.148,2322967,2322967
1085,690361,0.19818800000000003,0.163,690361,690361
1085,5774114,0.00472799999999995,0.11,5774114,5774114
1085,7456032,0.146966,0.14800000000000002,7456032,7456032
1085,9298810,0.23207199999999992,0.267,9298810,9298810
1085,5003242,0.05910199999999999,0.21,5003242,5003242
1085,680839,0.01378999999999996,0.157,680839,680839
1085,822048,0.05279699999999998,0.104,822048,822048
1085,4135877,0.13159900000000002,0.242,4135877,4135877
1085,9865879,0.05082699999999995,0.166,9865879,9865879
1085,5608092,0.11623299999999992,0.161,5608092,5608092
1085,4809378,0.1252949999999999,0.134,4809378,4809378
1085,5009365,0.12766,0.472,5009365,5009365
1085,2381935,0.31323899999999993,0.491,2381935,2381935
1085,7711100,0.17178899999999997,0.141,7711100,7711100
1085,6680851,0.14696599999999993,0.189,6680851,6680851
1085,5223852,0.04373499999999997,0.247,5223852,5223852
1085,2360422,0.427896,0.401,2360422,2360422
1085,2904955,0.401104,0.438,2904955,2904955
1085,1976182,0.166667,0.113,1976182,1976182
1085,7709336,0.17691099999999993,0.189,7709336,7709336
1085,8416134,0.06422400000000006,0.12,8416134,8416134
1085,9579145,0.10204899999999996,0.33,9579145,9579145
1085,1360484,0.224587,0.173,1360484,1360484
1085,1714949,0.23798200000000003,0.163,1714949,1714949
1085,2420795,0.203704,0.118,2420795,2420795
1085,6199236,0.008274,0.369,6199236,6199236
1085,8351725,0.04373499999999997,0.233,8351725,8351725
1085,3408830,0.02758100000000002,0.16800000000000004,3408830,3408830
1085,2351050,0.07328600000000007,0.184,2351050,2351050
1085,2381556,0.01733699999999993,0.261,2381556,2381556
1085,7089165,0.1997629999999999,0.102,7089165,7089165
1085,6547430,0.226556,0.299,6547430,6547430
1085,9684387,0.11071700000000008,0.131,9684387,9684387
1085,2320739,0.08353,0.254,2320739,2320739
1085,10680992,0.5204880000000001,0.32199999999999995,10680992,10680992
1085,1336977,0.17060700000000006,0.117,1336977,1336977
1085,5773996,0.04688700000000001,0.189,5773996,5773996
1085,5778770,0.069346,0.15700000000000003,5778770,5778770
1085,7646299,0.105201,0.263,7646299,7646299
1085,3399021,0.008274,0.118,3399021,3399021
1085,5811030,0.06264800000000004,0.157,5811030,5811030
1085,1074359,0.122143,0.468,1074359,1074359
1085,2407935,0.388101,0.307,2407935,2407935
1085,6196911,0.00984999999999991,0.14,6196911,6196911
1085,8346832,0.05949599999999999,0.161,8346832,8346832
1085,5906043,0.118992,0.152,5906043,5906043
1085,8177260,0.04885800000000001,0.14700000000000002,8177260,8177260
1085,2468170,0.40701300000000007,0.152,2468170,2468170
1085,2497621,0.02088299999999998,0.141,2497621,2497621
1085,4865664,0.21040099999999995,0.12,4865664,4865664
1085,1086762,0.03900700000000001,0.322,1086762,1086762
1085,6749942,0.02718700000000007,0.35,6749942,6749942
1085,2757388,0.17612300000000003,0.117,2757388,2757388
1085,9255332,0.697794,0.387,9255332,9255332
1085,5900311,0.00669799999999998,0.293,5900311,5900311
1085,9615826,0.06579999999999997,0.12,9615826,9615826
1085,1720780,0.24783299999999997,0.297,1720780,1720780
1085,1180540,0.1599689,0.19399999999999995,1180540,1180540
1085,2823061,0.25492499999999996,0.4489999999999999,2823061,2823061
1085,4799592,0.28684,0.479,4799592,4799592
1085,331798,0.06264800000000004,0.178,331798,331798
1085,2775315,0.496848,0.316,2775315,2775315
1085,2452320,0.622932,0.242,2452320,2452320
1085,5176900,0.2048850000000001,0.145,5176900,5176900
1085,6684356,0.14814799999999995,0.104,6684356,6684356
1085,2282580,0.00157600000000002,0.231,2282580,2282580
1085,7688829,0.03506699999999996,0.12,7688829,7688829
1085,1751512,0.265563,0.477,1751512,1751512
1085,5286195,0.11544500000000002,0.223,5286195,5286195
1085,2302410,0.16390800000000005,0.201,2302410,2302410
1085,8817183,0.1840034,0.265,8817183,8817183
1085,283855,0.19306599999999996,0.141,283855,283855
1085,2982532,0.17178899999999997,0.104,2982532,2982532
1085,6355659,0.01497200000000009,0.366,6355659,6355659
1085,2501705,0.5547679999999999,0.426,2501705,2501705
1085,8385446,0.211584,0.104,8385446,8385446
1085,2479874,0.00157600000000002,0.205,2479874,2479874
1085,5114682,0.01418399999999997,0.177,5114682,5114682
1085,1091108,0.03467199999999998,0.369,1091108,1091108
1085,10741583,0.12056699999999998,0.293,10741583,10741583
1085,977556,0.22300999999999993,0.466,977556,977556
1085,1742090,0.5003939,0.30700000000000005,1742090,1742090
1085,5823860,0.07722600000000002,0.398,5823860,5823860
1085,8393224,0.05161499999999996,0.196,8393224,8393224
1085,9057570,0.343971,0.30700000000000005,9057570,9057570
1085,2306841,0.14223799999999998,0.108,2306841,2306841
1085,7432552,0.10480699999999998,0.263,7432552,7432552
1085,3432301,0.07052800000000004,0.233,3432301,3432301
1085,2446423,0.4814810000000001,0.166,2446423,2446423
1085,1318209,0.0685578,0.138,1318209,1318209
1085,2914319,0.1867610000000001,0.405,2914319,2914319
1085,5786018,0.01654900000000003,0.12,5786018,5786018
1085,9009142,0.303783,0.302,9009142,9009142
1085,8431711,0.07249799999999995,0.147,8431711,8431711
1085,1728517,0.248621,0.177,1728517,1728517
1085,2974431,0.2297089999999999,0.244,2974431,2974431
1085,2068327,0.27777799999999997,0.207,2068327,2068327
1085,5099614,0.022459,0.277,5099614,5099614
1085,1023609,0.08668299999999995,0.106,1023609,1023609
1085,2561339,0.12411400000000006,0.154,2561339,2561339
1085,329438,0.01221499999999997,0.274,329438,329438
1085,2700050,0.1942470000000001,0.102,2700050,2700050
1085,1985726,0.248621,0.148,1985726,1985726
1085,9622305,0.08431799999999989,0.131,9622305,9622305
1085,1599019,0.08037800000000006,0.297,1599019,1599019
1085,5915532,0.01733699999999993,0.299,5915532,5915532
1085,3439642,0.04570499999999999,0.117,3439642,3439642
1085,10678000,0.522853,0.33199999999999996,10678000,10678000
1085,3936821,0.097715,0.106,3936821,3936821
1085,2308710,0.11820399999999998,0.203,2308710,2308710
1085,9553876,0.024428,0.104,9553876,9553876
1085,10871415,0.190307,0.161,10871415,10871415
1085,2898169,0.27777799999999997,0.3,2898169,2898169
1085,6071432,0.01103200000000004,0.111,6071432,6071432
1085,10876925,0.644996,0.4469999999999999,10876925,10876925
1085,6429810,0.29235599999999995,0.41,6429810,6429810
1085,1795827,0.335303,0.28600000000000003,1795827,1795827
1085,4827905,0.408589,0.394,4827905,4827905
1085,7672160,0.19542899999999996,0.311,7672160,7672160
1085,10708190,0.01142600000000004,0.141,10708190,10708190
1085,173138,0.01536599999999999,0.239,173138,173138
1085,9608066,0.08116699999999999,0.194,9608066,9608066
1085,3406444,0.08274199999999998,0.104,3406444,3406444
1085,5515612,0.09259300000000004,0.127,5515612,5515612
1085,7203156,0.02994399999999997,0.355,7203156,7203156
1085,1954191,0.35933799999999994,0.355,1954191,1954191
1085,2505696,0.541371,0.484,2505696,2505696
1085,5004111,0.219464,0.14,5004111,5004111
1085,8413002,0.08589500000000005,0.102,8413002,8413002
1085,4862598,0.30063000000000006,0.101,4862598,4862598
1085,1186247,0.04806900000000003,0.461,1186247,1186247
1085,8298985,0.08825799999999995,0.117,8298985,8298985
1085,7171372,0.11229300000000007,0.131,7171372,7171372
1085,5774569,0.122932,0.17800000000000005,5774569,5774569
1085,6683066,0.02915700000000004,0.417,6683066,6683066
1085,2704866,0.4897559,0.224,2704866,2704866
1085,5201047,0.00354599999999999,0.392,5201047,5201047
1085,3372482,0.07998400000000006,0.387,3372482,3372482
1085,1519324,0.01221499999999997,0.175,1519324,1519324
1085,6160412,0.01536599999999999,0.359,6160412,6160412
1085,5225381,0.14539000000000002,0.496,5225381,5225381
1085,3297605,0.388495,0.168,3297605,3297605
1085,5902684,0.28447599999999995,0.424,5902684,5902684
1085,6289976,0.20882599999999996,0.129,6289976,6289976
1085,1733192,0.6867610000000001,0.367,1733192,1733192
1085,1095350,0.221434,0.134,1095350,1095350
1085,4193020,0.13199400000000006,0.134,4193020,4193020
1085,2326084,0.16154500000000005,0.383,2326084,2326084
1085,1796778,0.24901500000000004,0.443,1796778,1796778
1085,7708399,0.097715,0.111,7708399,7708399
1085,10783082,0.02718700000000007,0.193,10783082,10783082
1085,2404704,0.04215899999999994,0.106,2404704,2404704
1085,4697462,0.167848,0.125,4697462,4697462
1085,4697974,0.07328600000000007,0.14,4697974,4697974
1085,1716962,0.1532701,0.15500000000000003,1716962,1716962
1085,6258286,0.05122099999999996,0.247,6258286,6258286
1085,7831710,0.18400299999999992,0.253,7831710,7831710
1085,1742242,0.367218,0.286,1742242,1742242
1085,6189976,0.31481499999999996,0.231,6189976,6189976
1085,2420913,0.248621,0.173,2420913,2420913
1085,4817198,0.152876,0.233,4817198,4817198
1085,6425610,0.28289999999999993,0.322,6425610,6425610
1085,969180,0.06501199999999996,0.276,969180,969180
1085,8865266,0.09219900000000004,0.118,8865266,8865266
1085,8386069,0.260441,0.38,8386069,8386069
1085,2775245,0.542159,0.247,2775245,2775245
1085,5377033,0.174547,0.138,5377033,5377033
1085,4532917,0.12647700000000006,0.226,4532917,4532917
1085,4796852,0.353034,0.477,4796852,4796852
1085,201162,0.144602,0.239,201162,201162
1085,6419022,0.04176499999999994,0.111,6419022,6419022
1085,2034008,0.4444439999999999,0.288,2034008,2034008
1085,9897362,0.01339600000000007,0.104,9897362,9897362
1085,5846757,0.02521600000000001,0.327,5846757,5846757
1085,2501044,0.16115100000000004,0.129,2501044,2501044
1085,2408057,0.29314400000000007,0.207,2408057,2408057
1085,3475914,0.1840034,0.19299999999999995,3475914,3475914
1085,8404659,0.17966900000000008,0.136,8404659,8404659
1085,7355557,0.311662,0.38,7355557,7355557
1085,8368856,0.26359299999999997,0.138,8368856,8368856
1085,7426097,0.287628,0.212,7426097,7426097
1085,2349259,0.046099,0.267,2349259,2349259
1085,1727954,0.6040179999999999,0.258,1727954,1727954
1085,9876363,0.377857,0.141,9876363,9876363
1085,6716849,0.3144209,0.231,6716849,6716849
1085,3442912,0.13593299999999997,0.143,3442912,3442912
1085,6309561,0.200157,0.15900000000000003,6309561,6309561
1085,3412207,0.11111099999999996,0.115,3412207,3412207
1085,3300724,0.05713100000000004,0.256,3300724,3300724
1085,1206056,0.15918,0.496,1206056,1206056
1085,10827300,0.076044,0.171,10827300,10827300
1085,5017808,0.03073300000000001,0.276,5017808,5017808
1085,5744704,0.02521600000000001,0.244,5744704,5744704
1085,10800286,0.312056,0.189,10800286,10800286
1085,9050339,0.396375,0.318,9050339,9050339
1085,1353615,0.16036300000000003,0.247,1353615,1353615
1085,540302,0.01773100000000005,0.221,540302,540302
1085,1985582,0.37549199999999994,0.314,1985582,1985582
1085,3671811,0.46020400000000006,0.428,3671811,3671811
1085,10663580,0.05910199999999999,0.118,10663580,10663580
1085,2319291,0.2167060000000001,0.314,2319291,2319291
1085,270621,0.05161499999999996,0.288,270621,270621
1085,5860272,0.106777,0.124,5860272,5860272
1085,4451341,0.06146499999999999,0.12,4451341,4451341
1085,7589417,0.02048799999999995,0.21,7589417,7589417
1085,993721,0.05082699999999995,0.322,993721,993721
1085,2844998,0.190307,0.148,2844998,2844998
1085,1760645,0.024034,0.115,1760645,1760645
1085,1377601,0.18518500000000004,0.138,1377601,1377601
1085,1732638,0.747833,0.373,1732638,1732638
1085,4174979,0.04097699999999998,0.28400000000000003,4174979,4174979
1085,5913908,0.04649300000000001,0.283,5913908,5913908
1085,4810810,0.4137110000000001,0.382,4810810,4810810
1085,993799,0.008668,0.304,993799,993799
1085,5620389,0.06067800000000001,0.108,5620389,5620389
1085,2838817,0.11189899999999996,0.403,2838817,2838817
1085,1299267,0.09338040000000002,0.117,1299267,1299267
1085,8406597,0.05910199999999999,0.127,8406597,8406597
1085,7646385,0.02600499999999994,0.115,7646385,7646385
1085,186223,0.14144999999999996,0.292,186223,186223
1085,1713725,0.211584,0.173,1713725,1713725
1085,4131460,0.06146499999999999,0.12,4131460,4131460
1085,3409305,0.01930599999999993,0.357,3409305,3409305
1085,1083889,0.00236500000000006,0.118,1083889,1083889
1085,8282403,0.12293200000000004,0.122,8282403,8282403
1085,259967,0.04413,0.383,259967,259967
1085,6847677,0.01497199999999998,0.141,6847677,6847677
1085,4124477,0.07486199999999998,0.118,4124477,4124477
1085,5058,0.11032300000000006,0.203,5058,5058
1085,2379649,0.11662699999999998,0.452,2379649,2379649
1085,6561323,0.16115100000000004,0.175,6561323,6561323
1085,6325348,0.07052800000000004,0.173,6325348,6325348
1085,6922578,0.03270300000000004,0.359,6922578,6922578
1085,6716885,0.297872,0.163,6716885,6716885
1085,1597504,0.17927499999999996,0.216,1597504,1597504
1085,3357391,0.01339600000000001,0.412,3357391,3357391
1085,2968750,0.5827419999999999,0.2,2968750,2968750
1085,5760850,7.880000000000109e-4,0.175,5760850,5760850
1085,6951204,0.21394799999999992,0.2,6951204,6951204
1085,375186,0.06579999999999997,0.11,375186,375186
1085,6003096,0.13869200000000004,0.124,6003096,6003096
1085,9000641,0.09613899999999996,0.133,9000641,9000641
1085,1713864,0.34082,0.233,1713864,1713864
1085,4863609,0.08431799999999989,0.208,4863609,4863609
1085,4986142,0.004334,0.35,4986142,4986142
1085,5010802,0.05555600000000005,0.117,5010802,5010802
1085,8402502,0.12923600000000002,0.203,8402502,8402502
1085,6424262,0.09141099999999992,0.265,6424262,6424262
1085,6002309,0.11071700000000008,0.168,6002309,6002309
1085,1361174,0.3727349,0.19399999999999995,1361174,1361174
1085,5851870,0.06501199999999996,0.288,5851870,5851870
1085,5017373,0.03664299999999998,0.33,5017373,5017373
1085,8305051,0.126083,0.413,8305051,8305051
1085,1713727,0.211584,0.171,1713727,1713727
1085,8620506,0.0472809999999999,0.17,8620506,8620506
1085,1187922,0.21907,0.247,1187922,1187922
1085,5898735,0.06540599999999996,0.214,5898735,5898735
1085,972989,0.15327000000000002,0.254,972989,972989
1085,4825234,0.312056,0.389,4825234,4825234
1085,8620485,0.166667,0.495,8620485,8620485
1085,4311098,0.308511,0.118,4311098,4311098
1085,3186768,0.08431799999999989,0.108,3186768,3186768
1085,6431751,0.42435,0.426,6431751,6431751
1085,8402963,0.22695,0.281,8402963,8402963
1085,1112845,0.21237199999999995,0.472,1112845,1112845
1085,186467,0.248227,0.269,186467,186467
1085,7975057,0.34594199999999997,0.108,7975057,7975057
1085,2559942,0.20015700000000003,0.293,2559942,2559942
1085,4822869,0.3715520000000001,0.496,4822869,4822869
1085,7470936,0.4125289999999999,0.205,7470936,7470936
1085,5217478,0.09613899999999996,0.122,5217478,5217478
1085,8074453,0.8963755,0.32299999999999995,8074453,8074453
1085,3252378,0.00118200000000001,0.224,3252378,3252378
1085,7666679,0.11544500000000002,0.281,7666679,7666679
1085,2971693,0.01182100000000002,0.30400000000000005,2971693,2971693
1085,7599172,0.07565,0.26,7599172,7599172
1085,10714429,0.076044,0.36,10714429,10714429
1085,4128543,0.00157600000000002,0.274,4128543,4128543
1085,2324848,0.01733699999999993,0.17,2324848,2324848
1085,1796996,0.341214,0.247,1796996,1796996
1085,6417849,0.18715499999999996,0.205,6417849,6417849
1085,2773962,0.117021,0.456,2773962,2773962
1085,5912015,0.00394000000000005,0.267,5912015,5912015
1085,5891328,0.02797499999999997,0.263,5891328,5891328
1085,1770746,0.16903100000000004,0.184,1770746,1770746
1085,1761583,0.441686,0.19999999999999996,1761583,1761583
1085,5273489,0.10835300000000005,0.11,5273489,5273489
1085,8283839,0.11071700000000008,0.292,8283839,8283839
1085,4145298,0.15602899999999997,0.11,4145298,4145298
1085,2756743,0.04964599999999997,0.164,2756743,2756743
1085,2301453,0.09929,0.231,2301453,2301453
1085,5111807,0.12017299999999996,0.143,5111807,5111807
1085,8395886,0.10244299999999996,0.212,8395886,8395886
1085,2354969,0.479117,0.164,2354969,2354969
1085,6679900,0.14657199999999992,0.122,6679900,6679900
